anml_key yd_trait rinverse
1 0.7 1
2 -1.5 1
3 0.3 1
4 0.3 1
5 -0.2 1
6 -0.2 1
7 2.4 1
8 1.5 1
9 -0.2 1
10 0 1
11 -1 1
12 0.4 1
13 0.9 1
14 0.2 1
15 -0.2 1
16 -1.2 1
17 -0.5 1
18 -0.3 1
19 -0.5 1
20 0.8 1
21 -0.2 1
22 0.5 1
23 -0.1 1
24 1.2 1
25 0.2 1
26 -0.5 1
27 0.2 1
28 1.3 1
29 -0.9 1
30 -0.5 1
31 -2.1 1
32 -1.2 1
33 0.2 1
34 -1.1 1
35 0.7 1
36 0.3 1
37 1.4 1
38 0.2 1
39 -0.2 1
40 0.7 1
41 -0.2 1
42 -0.7 1
43 0.3 1
44 -0.1 1
45 -0 1
46 1 1
47 -0 1
48 -0 1
49 -0.9 1
50 -0 1
51 -0.3 1
52 -0.9 1
53 0.7 1
54 -0 1
55 -0.4 1
56 -0 1
57 0.2 1
58 -0.1 1
59 0.1 1
60 0.5 1
61 -1.1 1
62 -0.6 1
63 -2.6 1
64 -0.7 1
65 -1 1
66 1 1
67 -1.6 1
68 1.3 1
69 0.9 1
70 -0.2 1
71 -0.9 1
72 -0.5 1
73 0.7 1
74 1.2 1
75 0.5 1
76 -1.8 1
77 0.4 1
78 -1.9 1
79 0.6 1
80 -1.1 1
81 0.7 1
82 -0.3 1
83 -0.8 1
84 0.8 1
85 0.3 1
86 1.7 1
87 -1.2 1
88 -1.1 1
89 -1 1
90 0.4 1
91 -1.1 1
92 0.4 1
93 0.7 1
94 -0.4 1
95 0.2 1
96 0 1
97 -0.8 1
98 -0.3 1
99 0.1 1
100 2.4 1
101 -0.8 1
102 -1 1
103 -1.3 1
104 1.1 1
105 -0.3 1
106 -1.2 1
107 -1.2 1
108 0.4 1
109 2.1 1
110 0.8 1
111 -1 1
112 0.5 1
113 -0.9 1
114 1.2 1
115 -2.8 1
116 -0.9 1
117 -0.3 1
118 -0.2 1
119 1.5 1
120 -1.2 1
121 0.1 1
122 -0 1
123 -0.2 1
124 -0.1 1
125 -0.4 1
126 -0.1 1
127 0.7 1
128 -0.7 1
129 0.2 1
130 -0.4 1
131 0.5 1
132 -0.6 1
133 1.2 1
134 0.6 1
135 1.8 1
136 1.1 1
137 0.3 1
138 1.6 1
139 1.2 1
140 -1.1 1
141 0 1
142 -0.6 1
143 -0.6 1
144 -1.7 1
145 -1.1 1
146 -0.6 1
147 -1.4 1
148 -1.8 1
149 -0.5 1
150 -1.4 1
151 0.4 1
152 0.8 1
153 0.3 1
154 -1.4 1
155 -0.6 1
156 -0.2 1
157 -2.7 1
158 -0.3 1
159 -2 1
160 0 1
161 -0.9 1
162 0.6 1
163 -1.4 1
164 -0.1 1
165 1.4 1
166 -1.3 1
167 -0.2 1
168 -0.9 1
169 2.4 1
170 -0.3 1
171 -0.2 1
172 0.6 1
173 -0.1 1
174 0.1 1
175 -0.5 1
176 0.1 1
177 1.1 1
178 0.8 1
179 0.2 1
180 0.2 1
181 0.1 1
182 0 1
183 -0 1
184 0.3 1
185 1.6 1
186 -0.4 1
187 2.1 1
188 1.1 1
189 -1.8 1
190 0.3 1
191 -0 1
192 -0.5 1
193 1.2 1
194 -0.3 1
195 0.1 1
196 -1.7 1
197 -0.5 1
198 -0.9 1
199 1.7 1
200 -1.1 1
